time,entity_name,description,component,notes,severity,is_root_cause
25-10-2024 12:14,VM3 (Database),Database connection error,Database,Database connection error due to unexpected issue,Info,1
25-10-2024 12:15,VM1 (Middle Layer),Unexpected system failure! Immediate action required!,Database,,Info,1
25-10-2024 12:16,VM1 (Middle Layer),API call timeout,API,API call timeout due to unexpected issue,Critical,
25-10-2024 12:17,VM3 (Database),Middleware no response,Database,Middleware no response due to unexpected issue,Warning,
25-10-2024 12:18,VM1 (Middle Layer),Middleware no response,Middleware,Middleware no response reported,Warning,0
25-10-2024 12:19,VM1 (Middle Layer),API is facing timeout issue,Middleware,API is facing timeout issue due to unexpected issue,Critical,1
25-10-2024 12:20,VM1 (Middle Layer),Database write failure,API,,Critical,1
25-10-2024 12:21,VM3 (Database),Failed database query,API,,Critical,
25-10-2024 12:22,VM2 (Application),API is facing timeout issue,Database,API is facing timeout issue due to unexpected issue,Critical,1
25-10-2024 12:23,VM2 (Application),Middleware crashed,Middleware,Middleware crashed reported,Warning,0
25-10-2024 12:24,VM3 (Database),API is facing timeout issue,API,API is facing timeout issue reported,Info,0
25-10-2024 12:25,VM2 (Application),API service unreachable,Middleware,API service unreachable due to unexpected issue,Info,
25-10-2024 12:26,VM1 (Middle Layer),Database locked,Database,Database locked due to unexpected issue,Warning,1
25-10-2024 12:27,VM3 (Database),Database replication issue,Database,Database replication issue due to unexpected issue,Info,1
25-10-2024 12:28,VM2 (Application),API not responding,Middleware,API not responding reported,Critical,0
25-10-2024 12:29,VM3 (Database),Middleware no response,API,Middleware no response due to unexpected issue,Warning,1
25-10-2024 12:30,VM3 (Database),Database crash detected,Database,Database crash detected reported,Critical,0
25-10-2024 12:31,VM3 (Database),Middleware no response,API,Middleware no response due to unexpected issue,Critical,1
25-10-2024 12:32,VM3 (Database),API not available,API,API not available due to unexpected issue,Critical,
25-10-2024 12:33,VM3 (Database),API not available,API,API not available reported,Warning,0
25-10-2024 12:34,VM1 (Middle Layer),API not available,API,API not available due to unexpected issue,Critical,
25-10-2024 12:35,VM2 (Application),API call timeout,API,API call timeout reported,Critical,0
25-10-2024 12:36,VM3 (Database),Database query timeout,API,,Warning,1
25-10-2024 12:37,VM2 (Application),Unexpected system failure! Immediate action required!,Database,Database locked due to unexpected issue,Critical,
25-10-2024 12:38,VM2 (Application),API is facing timeout issue,API,API is facing timeout issue reported,Critical,0
25-10-2024 12:39,VM1 (Middle Layer),API not available,API,API not available due to unexpected issue,Info,1
25-10-2024 12:40,VM3 (Database),Slow database query,API,Slow database query due to unexpected issue,Warning,1
25-10-2024 12:41,VM2 (Application),API call timeout,Middleware,API call timeout reported,Critical,0
25-10-2024 12:42,VM3 (Database),API response failure,Database,,Info,0
25-10-2024 12:43,VM1 (Middle Layer),Database locked,Database,,Critical,1
25-10-2024 12:44,VM3 (Database),Database crash detected,Database,Database crash detected reported,Info,0
25-10-2024 12:45,VM3 (Database),Unexpected system failure! Immediate action required!,Database,Database crash detected due to unexpected issue,Warning,1
25-10-2024 12:46,VM2 (Application),Unexpected system failure! Immediate action required!,Middleware,Failed database query due to unexpected issue,Warning,1
25-10-2024 12:47,VM3 (Database),Database connection error,Database,Database connection error due to unexpected issue,Warning,
